X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-77.51499,37.60245,218,218,329,GENWORTH FINANCIAL,6620 WEST BROAD STREET,NOT AVAILABLE,RICHMOND,VA,23230,HENRICO,3400,8369,37.60245,-77.51499,BING MAPS,ADDRESS,51087,NOT AVAILABLE,HTTPS://WWW.GENWORTH.COM/,-277
-82.54968,28.03336,219,219,195,WELLCARE HEALTH PLANS,8725 HENDERSON ROAD,NOT AVAILABLE,TAMPA,FL,33634,HILLSBOROUGH,7400,14237,28.03336,-82.54968,BING MAPS,ADDRESS,12057,NOT AVAILABLE,HTTPS://WWW.WELLCARE.COM/EN/DISTRICT-OF-COLUMBIA,242.1
-74.272687,40.677334,220,220,69,MERCK,2000 GALLOPING HILL ROAD,NOT AVAILABLE,KENILWORTH,NJ,07033,UNION,68000,39807,40.677334,-74.272687,MANUAL,ON-ENTITY,34019,NOT AVAILABLE,HTTP://WWW.MERCK.COM/INDEX.HTML,3920
-80.85421,35.54119,221,221,40,LOWE'S,1000 LOWE'S BOULEVARD,NOT AVAILABLE,MOORESVILLE,NC,28117,IREDELL,240000,65017,35.54119,-80.85421,BING MAPS,ADDRESS,37097,NOT AVAILABLE,HTTPS://WWW.LOWES.COM/,3093
-84.40253,42.2466,222,222,419,CMS ENERGY,1 ENERGY PLAZA,NOT AVAILABLE,JACKSON,MI,49201,JACKSON,7750,6399,42.2466,-84.40253,BING MAPS,ADDRESS,26075,NOT AVAILABLE,HTTPS://WWW.CMSENERGY.COM/HOME/DEFAULT.ASPX,551
-122.87228,42.32845,223,223,318,LITHIA MOTORS,150 NORTH BARTLETT STREET,NOT AVAILABLE,MEDFORD,OR,97501,JACKSON,11170,8678,42.32845,-122.87228,BING MAPS,ADDRESS,41029,NOT AVAILABLE,HTTPS://WWW.LITHIAMOTORS.COM/,197.1
-86.80907,33.51806,224,224,436,REGIONS FINANCIAL,1900 5TH AVENUE NORTH,NOT AVAILABLE,BIRMINGHAM,AL,35203,JEFFERSON,22166,5967,33.51806,-86.80907,BING MAPS,ADDRESS,01073,NOT AVAILABLE,HTTP://IR.REGIONS.COM/,1163
-85.75889,38.25647,225,225,53,HUMANA,500 WEST MAIN STREET,NOT AVAILABLE,LOUISVILLE,KY,40202,JEFFERSON,51600,54379,38.25647,-85.75889,BING MAPS,ADDRESS,21111,NOT AVAILABLE,HTTPS://WWW.HUMANA.COM/,614
-85.75849,38.2466,226,226,376,KINDRED HEALTHCARE,680 SOUTH 4TH STREET,NOT AVAILABLE,LOUISVILLE,KY,40202,JEFFERSON,76650,7227,38.2466,-85.75849,BING MAPS,ADDRESS,21111,NOT AVAILABLE,HTTPS://WWW.KINDREDHEALTHCARE.COM/,-664.2
-85.6949,38.19863,227,227,422,YUM BRANDS,1441 GARDINER LANE,NOT AVAILABLE,LOUISVILLE,KY,40213,JEFFERSON,90000,6366,38.19863,-85.6949,BING MAPS,ADDRESS,21111,NOT AVAILABLE,HTTP://WWW.YUM.COM/,1619
-94.69096,39.00816,228,228,486,SEABOARD,9000 WEST 67TH STREET,NOT AVAILABLE,SHAWNEE MISSION,KS,66202,JOHNSON,11781,5379,39.00816,-94.69096,BING MAPS,ADDRESS,20091,NOT AVAILABLE,HTTPS://WWW.SEABOARDCORP.COM/,312
-85.55651,42.24191,229,229,252,STRYKER,2825 AIRVIEW BOULEVARD,NOT AVAILABLE,KALAMAZOO,MI,49002,KALAMAZOO,33000,11325,42.24191,-85.55651,BING MAPS,ADDRESS,26077,NOT AVAILABLE,HTTPS://WWW.STRYKER.COM/US/EN/INDEX.HTML,1647
-122.332633,47.600473,230,230,341,WEYERHAEUSER,220 OCCIDENTAL AVENUE SOUTH,NOT AVAILABLE,SEATTLE,WA,98104,KING,10400,7902,47.600473,-122.332633,MANUAL,ON-ENTITY,53033,NOT AVAILABLE,HTTPS://WWW.WEYERHAEUSER.COM/,1027
-122.19701,47.6134,231,231,317,EXPEDIA,333 108TH AVENUE NE,NOT AVAILABLE,BELLEVUE,WA,98004,KING,20075,8774,47.6134,-122.19701,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.EXPEDIA.COM/,281.8
-122.19966,47.61655,232,232,164,PACCAR,777 106TH AVENUE NE,NOT AVAILABLE,BELLEVUE,WA,98004,KING,23000,17033,47.61655,-122.19966,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTP://WWW.PACCAR.COM/,521.7
-122.05035,47.54779,233,233,16,COSTCO,999 LAKE DRIVE,NOT AVAILABLE,ISSAQUAH,WA,98027,KING,172000,118719,47.54779,-122.05035,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.COSTCO.COM/,2350
-122.1298,47.64005,234,234,28,MICROSOFT,1 MICROSOFT WAY,NOT AVAILABLE,REDMOND,WA,98052,KING,114000,85320,47.64005,-122.1298,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.MICROSOFT.COM/EN-US/,16798
-122.33591,47.61242,235,235,188,NORDSTROM,1617 6TH AVENUE,NOT AVAILABLE,SEATTLE,WA,98101,KING,72500,14757,47.61242,-122.33591,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://SHOP.NORDSTROM.COM/,354
-122.33459,47.60578,236,236,429,EXPEDITORS INTERNATIONAL OF WASHINGTON,1015 3RD AVENUE,NOT AVAILABLE,SEATTLE,WA,98104,KING,16000,6098,47.60578,-122.33459,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.EXPEDITORS.COM/,430.8
-122.33676,47.62226,237,237,12,AMAZON.COM,410 TERRY AVENUE NORTH,NOT AVAILABLE,SEATTLE,WA,98109,KING,341400,135987,47.62226,-122.33676,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.AMAZON.COM/,2371
-122.33534,47.58181,238,238,131,STARBUCKS,2401 UTAH AVENUE SOUTH,NOT AVAILABLE,SEATTLE,WA,98134,KING,254000,21316,47.58181,-122.33534,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.STARBUCKS.COM/,2817.7
-122.29366,47.42906,239,239,438,ALASKA AIR GROUP,19300 INTERNATIONAL BOULEVARD,NOT AVAILABLE,SEATTLE,WA,98188,KING,19112,5931,47.42906,-122.29366,BING MAPS,ADDRESS,53033,NOT AVAILABLE,HTTPS://WWW.ALASKAAIR.COM/,814
-73.97913,40.75559,240,240,500,ABM INDUSTRIES,551 5TH AVENUE,SUITE 300,NEW YORK,NY,10176,KINGS,110000,5145,40.75559,-73.97913,BING MAPS,ADDRESS,36047,NOT AVAILABLE,HTTPS://WWW.ABM.COM/,57.2
-85.85409,41.23959,241,241,352,ZIMMER BIOMET HOLDINGS,345 EAST MAIN STREET,NOT AVAILABLE,WARSAW,IN,46580,KOSCIUSKO,18500,7684,41.23959,-85.85409,BING MAPS,ADDRESS,18085,NOT AVAILABLE,HTTPS://WWW.ZIMMERBIOMET.COM/,305.9
-92.97162,43.67467,242,242,295,HORMEL FOODS,1 HORMEL PLACE,NOT AVAILABLE,AUSTIN,MN,55912,LAKE,21100,9523,43.67467,-92.97162,BING MAPS,ADDRESS,27097,NOT AVAILABLE,HTTPS://WWW.HORMELFOODS.COM/,890.1
-87.88061,42.1599,243,243,281,BAXTER INTERNATIONAL,1 BAXTER PARKWAY,NOT AVAILABLE,DEERFIELD,IL,60015,LAKE,48000,10163,42.1599,-87.88061,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.BAXTER.COM/,4965
-87.88834,42.15495,244,244,277,DISCOVER FINANCIAL SERVICES,2500 LAKE COOK ROAD,NOT AVAILABLE,RIVERWOODS,IL,60015,LAKE,15549,10497,42.15495,-87.88834,BING MAPS,ADDRESS,17097,NOT AVAILABLE,HTTPS://WWW.DISCOVER.COM/,2393
